Dependencias,Municipios,Genero,Edad
Archivo General,LA FLORIDA,masculino,63
Subsecretaría de Economía Regional y Agua Potable,LA LLANADA,femenino,26
Subsecretaría Administrativa,MAGUI,femenino,71
Subsecretaría de Minas,SAN PEDRO DE CARTAGO,masculino,45
Subsecretaría Administrativa y Financiera,TUMACO,masculino,16
Subsecretaría de Rentas,LA FLORIDA,femenino,39
Secretaría de Gobierno,OLAYA HERRERA,femenino,50
Subsecretaría de Minas,TAMINANGO,masculino,21
Dirección Administrativa de Gestión de Riesgo de Desastres,COLON,femenino,66
Subsecretaría de Gestión Pública,LINARES,femenino,56
Oficina Jurídica,ANCUYA,femenino,60
Subsecretaría de Planeación Educativa y Cobertura,ALBAN,femenino,31
Oficina Jurídica,CUMBAL,femenino,56
Secretaría de Hacienda,IPIALES,femenino,45
Secretaría de Hacienda,EL TAMBO,femenino,29
Secretaría de Planeación,IPIALES,femenino,66
Oficina Control Interno Diciplinario,ALDANA,femenino,16
Dirección Administrativa de Turismo,SAN BERNARDO,femenino,84
Subsecretaría de Asistencia Técnica,LEIVA,masculino,75
Archivo General,NARIÑO,femenino,34
Departamento Administrativo de Contratación,YACUANQUER,femenino,52
Oficina Control Interno de Gestión,LEIVA,femenino,44
Oficina Control Interno Diciplinario,YACUANQUER,femenino,73
Subsecretaría de Transito y Trasnporte,RICAURTE,masculino,85
Dirección Administrativa de Cultura,SAMANIEGO,masculino,22
Subsecretaría de Talento Humano,IPIALES,masculino,52
Subsecretaría de Calidad Educativa,IMUES,femenino,37
Oficina Jurídica,LA LLANADA,masculino,31
Subsecretaría de Paz y Derechos Humanos,EL CHARCO,femenino,10
Secretaría de Ambiente y Desarrollo Sostenible,EL TAMBO,femenino,22
Subsecretaría de Transito y Trasnporte,COLON,masculino,67
Secretaría de Recreación y Deporte,BARBACOAS,femenino,20
Secretaría de Equidad de Genero e Inclusión Social,RICAURTE,masculino,9
Subsecretaría de Economía Regional y Agua Potable,TUQUERRES,masculino,84
Secretaría de Infraestructura y Minas,TUQUERRES,masculino,43
Departamento Administrativo de Contratación,SANTA BARBARA,masculino,86
Dirección Administrativa de Cultura,MAGUI,masculino,65
Subsecretaría de Transito y Trasnporte,BELEN,masculino,40
Oficina Control Interno Diciplinario,CHACHAGUI,masculino,79
"Secretaría de TIC, Innovación y Gobierno Abierto",SAN BERNARDO,masculino,61
Subsecretaría de Paz y Derechos Humanos,COLON,femenino,54
Oficina Control Interno Diciplinario,SANTACRUZ,femenino,8
Secretaría de Infraestructura y Minas,CUASPUD,femenino,21
Secretaría de Recreación y Deporte,LA UNION,masculino,51
Oficina Control Interno Diciplinario,SAN PEDRO DE CARTAGO,femenino,35
Subsecretaría de Calidad Educativa,PROVIDENCIA,femenino,31
Oficina Control Interno de Gestión,EL TAMBO,femenino,67
Dirección Administrativa de Cultura,SAPUYES,masculino,79
Subsecretaría de Calidad Educativa,EL ROSARIO,femenino,87
Secretaría de Gobierno,OLAYA HERRERA,femenino,49
Secretaría de Ambiente y Desarrollo Sostenible,YACUANQUER,masculino,18
Secretaría de Gobierno,LA UNION,femenino,19
Subsecretaría de Desarrollo Comunitario,BARBACOAS,masculino,79
Subsecretaría de Minas,PUPIALES,masculino,85
Departamento Administrativo de Contratación,SAMANIEGO,femenino,40
Dirección Administrativa de Turismo,PROVIDENCIA,femenino,84
Secretaría de Recreación y Deporte,GUACHUCAL,masculino,45
Subsecretaría Administrativa y Financiera,EL CHARCO,masculino,59
Secretaría de Planeación,COLON,masculino,58
Secretaría de Recreación y Deporte,TANGUA,femenino,43
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",BARBACOAS,masculino,63
Dirección Administrativa de Turismo,CUMBAL,masculino,46
Secretaría de Equidad de Genero e Inclusión Social,CUASPUD,femenino,35
Subsecretaría de Paz y Derechos Humanos,LA CRUZ,masculino,31
Subsecretaría de Planeación Educativa y Cobertura,SAN PABLO,masculino,46
Secretaría de Infraestructura y Minas,TUQUERRES,femenino,10
Secretaría de Equidad de Genero e Inclusión Social,EL CHARCO,femenino,45
Subsecretaría de Minas,OLAYA HERRERA,femenino,51
Subsecretaría de Rentas,YACUANQUER,masculino,19
Secretaría General,RICAURTE,masculino,21
Secretaría de Recreación y Deporte,ILES,masculino,52
Oficina Control Interno Diciplinario,LA UNION,femenino,40
Secretaría de Hacienda,ANCUYA,masculino,5
Subsecretaría de Economía Regional y Agua Potable,OLAYA HERRERA,masculino,55
Secretaría de Equidad de Genero e Inclusión Social,EL ROSARIO,femenino,23
Archivo General,IPIALES,femenino,7
Subsecretaría de Gestión Pública,SAPUYES,femenino,18
Departamento Administrativo de Contratación,SANTA BARBARA,masculino,78
Subsecretaría Administrativa,GUACHUCAL,masculino,85
Secretaría de Planeación,NARIÑO,masculino,72
Subsecretaría de Desarrollo Comunitario,IPIALES,femenino,38
Oficina Jurídica,ANCUYA,masculino,65
Dirección Administrativa de Cultura,FRANCISCO PIZARRO,masculino,64
Subsecretaría de Paz y Derechos Humanos,EL CHARCO,masculino,42
Subsecretaría de Transito y Trasnporte,YACUANQUER,femenino,79
Subsecretaría de Rentas,LINARES,masculino,26
Subsecretaría Administrativa y Financiera,SANDONA,masculino,57
Oficina Jurídica,IPIALES,masculino,17
Subsecretaría de Planeación Educativa y Cobertura,FRANCISCO PIZARRO,femenino,59
Secretaría de Gobierno,COLON,masculino,60
Subsecretaría de Gestión Pública,IMUES,femenino,66
Dirección Administrativa de Cultura,GUACHUCAL,femenino,23
Secretaría de Ambiente y Desarrollo Sostenible,NARIÑO,femenino,52
Oficina Jurídica,BUESACO,femenino,66
Subsecretaría de Desarrollo Comunitario,SANDONA,masculino,78
Subsecretaría de Gestión Ambiental y Crecimiento Verde,MAGUI,femenino,32
Subsecretaría de Gestión Pública,CUASPUD,masculino,84
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",ANCUYA,femenino,14
Secretaría de Hacienda,GUAITARILLA,masculino,74
Secretaría de Gobierno,ILES,femenino,10
Subsecretaría de Minas,LA CRUZ,femenino,45
Secretaría de Agricultura y Desarrollo Rural,LEIVA,masculino,8
Archivo General,PROVIDENCIA,femenino,85
Secretaría de Planeación,TUQUERRES,masculino,80
Secretaría de Recreación y Deporte,OLAYA HERRERA,femenino,24
Secretaría de Agricultura y Desarrollo Rural,TAMINANGO,femenino,22
Subsecretaría de Gestión Ambiental y Crecimiento Verde,LA TOLA,masculino,26
Subsecretaría de Asistencia Técnica,NARIÑO,masculino,36
Secretaría General,PROVIDENCIA,femenino,36
Subsecretaría de Rentas,ANCUYA,masculino,55
Secretaría de Infraestructura y Minas,PUPIALES,femenino,9
Oficina Control Interno de Gestión,SAN BERNARDO,femenino,86
Secretaría General,POLICARPA,femenino,44
Dirección Administrativa de Gestión de Riesgo de Desastres,FRANCISCO PIZARRO,femenino,85
Secretaría de Recreación y Deporte,PUERRES,masculino,6
Oficina Control Interno de Gestión,GUACHUCAL,femenino,37
Dirección Administrativa de Cultura,CONSACA,femenino,82
Archivo General,GUACHUCAL,masculino,18
Dirección Administrativa de Turismo,MOSQUERA,femenino,61
Subsecretaría Administrativa y Financiera,CUMBAL,masculino,88
Subsecretaría de Transito y Trasnporte,CONSACA,masculino,63
Subsecretaría de Asistencia Técnica,LA TOLA,femenino,35
Secretaría de Equidad de Genero e Inclusión Social,EL TABLON DE GOMEZ,masculino,40
Oficina Jurídica,NARIÑO,femenino,26
Subsecretaría de Gestión Ambiental y Crecimiento Verde,SAN BERNARDO,masculino,15
Subsecretaría de Transito y Trasnporte,LOS ANDES,femenino,24
Subsecretaría de Paz y Derechos Humanos,ROBERTO PAYAN,masculino,49
Subsecretaría de Rentas,EL PEÑOL,masculino,21
Subsecretaría de Planeación Educativa y Cobertura,ALDANA,masculino,71
Subsecretaría de Minas,ALBAN,masculino,88
Subsecretaría de Paz y Derechos Humanos,NARIÑO,masculino,44
Departamento Administrativo de Contratación,ALBAN,femenino,38
Subsecretaría de Talento Humano,IMUES,femenino,72
Secretaría de Recreación y Deporte,ILES,femenino,49
Subsecretaría de Presupuesto,SANTACRUZ,masculino,75
Oficina Jurídica,MALLAMA,masculino,37
Oficina Control Interno Diciplinario,CONTADERO,masculino,37
Subsecretaría de Presupuesto,CONSACA,femenino,72
Subsecretaría de Desarrollo Comunitario,IMUES,femenino,43
Subsecretaría de Economía Regional y Agua Potable,EL TABLON DE GOMEZ,femenino,41
Secretaría General,OLAYA HERRERA,femenino,55
Secretaría de Ambiente y Desarrollo Sostenible,YACUANQUER,femenino,56
Subsecretaría de Rentas,ALDANA,masculino,31
Subsecretaría de Economía Regional y Agua Potable,EL ROSARIO,femenino,6
Archivo General,IPIALES,masculino,5
Dirección Administrativa de Gestión de Riesgo de Desastres,ALBAN,masculino,58
Secretaría de Ambiente y Desarrollo Sostenible,SAN PEDRO DE CARTAGO,femenino,57
Subsecretaría de Paz y Derechos Humanos,SAN PEDRO DE CARTAGO,masculino,52
Subsecretaría de Minas,FUNES,masculino,25
Oficina Control Interno de Gestión,PROVIDENCIA,masculino,20
Dirección Administrativa de Turismo,BUESACO,masculino,61
Subsecretaría de Talento Humano,BELEN,masculino,38
Subsecretaría Administrativa y Financiera,LA FLORIDA,masculino,69
Secretaría de Hacienda,CORDOBA,masculino,82
Subsecretaría de Talento Humano,LA CRUZ,masculino,37
Subsecretaría de Transito y Trasnporte,LEIVA,masculino,9
Secretaría de Agricultura y Desarrollo Rural,MAGUI,femenino,8
Secretaría General,TUQUERRES,masculino,8
Subsecretaría de Economía Regional y Agua Potable,POLICARPA,masculino,12
Subsecretaría de Transito y Trasnporte,GUACHUCAL,femenino,66
Subsecretaría de Economía Regional y Agua Potable,OSPINA,femenino,81
Subsecretaría Administrativa,TUMACO,masculino,31
Secretaría de Equidad de Genero e Inclusión Social,EL TAMBO,masculino,51
Departamento Administrativo de Contratación,OSPINA,femenino,17
Subsecretaría de Gestión Pública,ARBOLEDA,masculino,77
Subsecretaría de Desarrollo Comunitario,TUMACO,femenino,70
Subsecretaría de Gestión Ambiental y Crecimiento Verde,EL CHARCO,femenino,12
Dirección Administrativa de Turismo,SAN PEDRO DE CARTAGO,femenino,20
Oficina Control Interno Diciplinario,ANCUYA,femenino,11
Dirección Administrativa de Gestión de Riesgo de Desastres,SAN PEDRO DE CARTAGO,masculino,88
Subsecretaría de Planeación Educativa y Cobertura,IMUES,masculino,45
Subsecretaría de Transito y Trasnporte,ROBERTO PAYAN,masculino,31
Archivo General,CUMBAL,masculino,43
Secretaría de Educación,ARBOLEDA,masculino,22
Subsecretaría de Presupuesto,TANGUA,femenino,84
Secretaría de Gobierno,TUMACO,femenino,41
Subsecretaría de Gestión Pública,TANGUA,masculino,57
Subsecretaría de Minas,LA TOLA,femenino,31
Subsecretaría de Transito y Trasnporte,IMUES,masculino,71
Subsecretaría de Minas,LEIVA,masculino,15
Archivo General,PUPIALES,femenino,8
Subsecretaría de Economía Regional y Agua Potable,FUNES,masculino,70
Subsecretaría de Talento Humano,CUMBITARA,masculino,84
Subsecretaría de Presupuesto,PROVIDENCIA,masculino,33
Secretaría de Gobierno,TANGUA,femenino,7
Secretaría de Recreación y Deporte,CONTADERO,masculino,33
Dirección Administrativa de Cultura,YACUANQUER,femenino,37
Secretaría de Equidad de Genero e Inclusión Social,ARBOLEDA,femenino,67
Subsecretaría de Transito y Trasnporte,SAN LORENZO,masculino,47
Subsecretaría de Economía Regional y Agua Potable,MOSQUERA,femenino,40
Subsecretaría de Minas,SANDONA,masculino,58
Subsecretaría de Paz y Derechos Humanos,SANTA BARBARA,masculino,78
Secretaría General,EL ROSARIO,femenino,37
Secretaría de Ambiente y Desarrollo Sostenible,ROBERTO PAYAN,masculino,53
"Secretaría de TIC, Innovación y Gobierno Abierto",YACUANQUER,masculino,74
Subsecretaría de Gestión Pública,CONSACA,femenino,6
Subsecretaría de Paz y Derechos Humanos,MOSQUERA,femenino,47
Secretaría de Hacienda,GUACHUCAL,masculino,41
Subsecretaría de Rentas,PUPIALES,femenino,52
Subsecretaría de Gestión Ambiental y Crecimiento Verde,CORDOBA,masculino,9
Subsecretaría de Asistencia Técnica,ROBERTO PAYAN,masculino,82
Subsecretaría de Calidad Educativa,NARIÑO,masculino,28
Departamento Administrativo de Contratación,MALLAMA,masculino,14
Subsecretaría Administrativa y Financiera,LA TOLA,masculino,71
Subsecretaría de Transito y Trasnporte,IMUES,masculino,49
Subsecretaría de Asistencia Técnica,SANDONA,masculino,76
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",PUERRES,masculino,83
Subsecretaría de Gestión Ambiental y Crecimiento Verde,SAMANIEGO,masculino,23
Subsecretaría de Transito y Trasnporte,TUMACO,masculino,47
Subsecretaría de Talento Humano,IMUES,masculino,53
Subsecretaría de Gestión Pública,SAN PEDRO DE CARTAGO,masculino,38
Subsecretaría de Presupuesto,PUERRES,femenino,41
"Secretaría de TIC, Innovación y Gobierno Abierto",YACUANQUER,masculino,63
Subsecretaría de Presupuesto,PUPIALES,masculino,23
Subsecretaría de Infraestructura y Vías,MOSQUERA,masculino,13
Subsecretaría de Talento Humano,SAN LORENZO,masculino,32
Secretaría de Agricultura y Desarrollo Rural,SANTACRUZ,masculino,70
Subsecretaría de Gestión Pública,PUERRES,femenino,49
Dirección Administrativa de Cultura,TAMINANGO,masculino,55
Subsecretaría Administrativa y Financiera,CONSACA,femenino,44
Secretaría de Gobierno,PUERRES,masculino,43
Subsecretaría de Calidad Educativa,LINARES,femenino,18
Subsecretaría de Talento Humano,SANTA BARBARA,masculino,78
Subsecretaría de Asistencia Técnica,RICAURTE,masculino,22
Subsecretaría de Gestión Pública,POTOSI,masculino,85
Secretaría de Gobierno,SAN LORENZO,femenino,25
Secretaría de Educación,FRANCISCO PIZARRO,masculino,8
Secretaría de Planeación,IPIALES,femenino,67
Secretaría de Planeación,EL PEÑOL,masculino,7
Subsecretaría de Gestión Ambiental y Crecimiento Verde,CORDOBA,femenino,67
Subsecretaría de Rentas,EL ROSARIO,masculino,46
Subsecretaría de Planeación Educativa y Cobertura,EL CHARCO,femenino,77
Subsecretaría de Desarrollo Comunitario,FRANCISCO PIZARRO,femenino,63
Dirección Administrativa de Turismo,PUPIALES,femenino,25
Subsecretaría de Talento Humano,ILES,femenino,70
Secretaría de Equidad de Genero e Inclusión Social,OLAYA HERRERA,femenino,34
Subsecretaría de Desarrollo Comunitario,TANGUA,masculino,5
Secretaría de Educación,TANGUA,masculino,57
Secretaría de Planeación,EL TABLON DE GOMEZ,femenino,35
Departamento Administrativo de Contratación,CONTADERO,femenino,69
Subsecretaría de Gestión Pública,BARBACOAS,femenino,30
Subsecretaría de Talento Humano,POLICARPA,femenino,74
Subsecretaría Administrativa y Financiera,LA CRUZ,femenino,84
Subsecretaría de Gestión Pública,SAN PABLO,femenino,13
Oficina Control Interno de Gestión,TANGUA,masculino,22
Subsecretaría de Paz y Derechos Humanos,CUMBITARA,masculino,51
Secretaría de Ambiente y Desarrollo Sostenible,PUPIALES,masculino,43
Subsecretaría de Gestión Ambiental y Crecimiento Verde,LA UNION,masculino,30
Subsecretaría de Talento Humano,PUERRES,femenino,28
Subsecretaría de Calidad Educativa,LA TOLA,femenino,38
Subsecretaría de Rentas,LA CRUZ,femenino,31
Subsecretaría de Desarrollo Comunitario,TAMINANGO,masculino,45
Subsecretaría de Minas,LINARES,femenino,74
Dirección Administrativa de Turismo,CUASPUD,masculino,76
Secretaría General,SAMANIEGO,masculino,46
Secretaría de Recreación y Deporte,PUPIALES,femenino,27
Archivo General,EL TAMBO,masculino,46
Departamento Administrativo de Contratación,ROBERTO PAYAN,masculino,86
Secretaría de Hacienda,ARBOLEDA,masculino,70
Subsecretaría de Talento Humano,SAN PEDRO DE CARTAGO,femenino,67
Secretaría de Hacienda,TANGUA,masculino,36
Archivo General,PUERRES,masculino,45
Subsecretaría de Rentas,FRANCISCO PIZARRO,femenino,16
Subsecretaría de Transito y Trasnporte,TUMACO,masculino,22
Secretaría de Educación,EL ROSARIO,masculino,64
Subsecretaría de Gestión Pública,IPIALES,masculino,38
Subsecretaría de Transito y Trasnporte,SANTA BARBARA,femenino,87
Secretaría de Recreación y Deporte,TUQUERRES,masculino,77
Dirección Administrativa de Gestión de Riesgo de Desastres,OLAYA HERRERA,femenino,21
Departamento Administrativo de Contratación,POLICARPA,masculino,86
Subsecretaría de Calidad Educativa,CHACHAGUI,femenino,31
Dirección Administrativa de Cultura,SAPUYES,masculino,14
Dirección Administrativa de Cultura,SAN LORENZO,femenino,42
Subsecretaría de Infraestructura y Vías,FRANCISCO PIZARRO,femenino,81
Subsecretaría de Gestión Pública,FRANCISCO PIZARRO,masculino,78
Secretaría de Ambiente y Desarrollo Sostenible,SANDONA,femenino,30
Dirección Administrativa de Turismo,TAMINANGO,masculino,20
Secretaría General,PUPIALES,masculino,53
Subsecretaría Administrativa y Financiera,EL TAMBO,femenino,71
Subsecretaría de Minas,GUALMATAN,masculino,9
"Secretaría de TIC, Innovación y Gobierno Abierto",TAMINANGO,masculino,57
Subsecretaría de Gestión Ambiental y Crecimiento Verde,SANTACRUZ,femenino,45
Subsecretaría de Minas,GUALMATAN,femenino,48
Secretaría de Hacienda,ILES,femenino,36
Subsecretaría de Rentas,TAMINANGO,femenino,64
Subsecretaría de Gestión Ambiental y Crecimiento Verde,BELEN,femenino,40
Subsecretaría de Desarrollo Comunitario,FRANCISCO PIZARRO,femenino,44
Dirección Administrativa de Gestión de Riesgo de Desastres,IMUES,masculino,38
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",CONTADERO,masculino,58
Subsecretaría de Paz y Derechos Humanos,SAN BERNARDO,masculino,33
Secretaría de Hacienda,IPIALES,femenino,64
Dirección Administrativa de Cultura,CHACHAGUI,femenino,22
Secretaría de Equidad de Genero e Inclusión Social,SAN PABLO,femenino,17
Archivo General,ARBOLEDA,femenino,71
Subsecretaría de Transito y Trasnporte,BUESACO,femenino,64
Archivo General,POLICARPA,femenino,23
Subsecretaría de Minas,LA UNION,femenino,13
Subsecretaría de Gestión Ambiental y Crecimiento Verde,BUESACO,femenino,11
Subsecretaría de Talento Humano,SAMANIEGO,femenino,68
Dirección Administrativa de Turismo,YACUANQUER,femenino,21
Secretaría de Agricultura y Desarrollo Rural,TANGUA,masculino,64
Subsecretaría de Talento Humano,TUQUERRES,femenino,87
Dirección Administrativa de Gestión de Riesgo de Desastres,CONTADERO,femenino,11
Secretaría de Ambiente y Desarrollo Sostenible,LA LLANADA,masculino,55
Subsecretaría de Paz y Derechos Humanos,SAN BERNARDO,masculino,88
Secretaría de Hacienda,ALDANA,masculino,6
Subsecretaría de Infraestructura y Vías,GUAITARILLA,femenino,38
Secretaría de Recreación y Deporte,LA LLANADA,masculino,29
Subsecretaría de Economía Regional y Agua Potable,SANDONA,femenino,22
Secretaría de Hacienda,EL CHARCO,masculino,61
Subsecretaría de Planeación Educativa y Cobertura,IPIALES,masculino,80
Subsecretaría de Minas,LA LLANADA,masculino,40
Subsecretaría de Economía Regional y Agua Potable,IMUES,femenino,32
Secretaría de Recreación y Deporte,POLICARPA,femenino,6
Oficina Jurídica,LEIVA,masculino,27
Dirección Administrativa de Gestión de Riesgo de Desastres,SAN PEDRO DE CARTAGO,masculino,20
Secretaría de Planeación,OSPINA,masculino,20
Oficina Control Interno Diciplinario,ANCUYA,femenino,26
Subsecretaría de Presupuesto,SAN LORENZO,masculino,20
Oficina Control Interno Diciplinario,PUERRES,femenino,78
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",SAN PABLO,femenino,27
Secretaría de Recreación y Deporte,ALBAN,masculino,21
Secretaría de Infraestructura y Minas,LA TOLA,masculino,36
Secretaría de Equidad de Genero e Inclusión Social,NARIÑO,masculino,81
Secretaría de Gobierno,LINARES,femenino,28
Secretaría de Planeación,LEIVA,femenino,41
Subsecretaría de Paz y Derechos Humanos,PROVIDENCIA,femenino,56
Secretaría de Infraestructura y Minas,OSPINA,masculino,51
Subsecretaría de Gestión Pública,CUASPUD,masculino,43
Subsecretaría de Presupuesto,EL PEÑOL,femenino,8
Subsecretaría de Gestión Pública,SANTACRUZ,femenino,29
Secretaría de Equidad de Genero e Inclusión Social,ILES,masculino,31
Dirección Administrativa de Cultura,TAMINANGO,femenino,22
Secretaría de Hacienda,POTOSI,femenino,35
Subsecretaría de Desarrollo Comunitario,EL ROSARIO,femenino,33
Oficina Jurídica,BARBACOAS,femenino,11
Subsecretaría de Asistencia Técnica,ILES,femenino,68
Secretaría de Agricultura y Desarrollo Rural,SAMANIEGO,femenino,11
Subsecretaría de Infraestructura y Vías,LINARES,masculino,44
Dirección Administrativa de Cultura,CUMBITARA,masculino,87
Secretaría de Gobierno,ILES,femenino,19
Subsecretaría de Gestión Ambiental y Crecimiento Verde,GUALMATAN,masculino,39
Subsecretaría de Calidad Educativa,RICAURTE,femenino,53
"Secretaría de TIC, Innovación y Gobierno Abierto",LEIVA,masculino,6
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",GUALMATAN,masculino,29
Secretaría de Equidad de Genero e Inclusión Social,TAMINANGO,femenino,85
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",CUASPUD,masculino,14
Subsecretaría de Infraestructura y Vías,SAPUYES,masculino,63
Subsecretaría de Presupuesto,BELEN,masculino,48
Departamento Administrativo de Contratación,ARBOLEDA,femenino,35
Subsecretaría de Transito y Trasnporte,EL TABLON DE GOMEZ,femenino,12
Subsecretaría de Rentas,OLAYA HERRERA,masculino,37
Oficina Control Interno Diciplinario,LA CRUZ,masculino,54
"Secretaría de TIC, Innovación y Gobierno Abierto",SANTACRUZ,masculino,83
Secretaría de Educación,FRANCISCO PIZARRO,masculino,16
Subsecretaría Administrativa y Financiera,SANTACRUZ,masculino,24
Subsecretaría de Asistencia Técnica,PUPIALES,masculino,14
Subsecretaría de Gestión Pública,CUASPUD,femenino,22
Secretaría de Agricultura y Desarrollo Rural,POLICARPA,femenino,86
Secretaría de Hacienda,MOSQUERA,masculino,55
Subsecretaría de Minas,GUALMATAN,femenino,67
Subsecretaría de Transito y Trasnporte,IPIALES,femenino,68
Secretaría de Planeación,GUALMATAN,femenino,47
Subsecretaría de Rentas,POLICARPA,masculino,12
Dirección Administrativa de Gestión de Riesgo de Desastres,TAMINANGO,masculino,75
Subsecretaría de Transito y Trasnporte,TANGUA,femenino,46
Subsecretaría de Gestión Ambiental y Crecimiento Verde,OLAYA HERRERA,masculino,87
Secretaría de Agricultura y Desarrollo Rural,LA UNION,femenino,62
Subsecretaría de Minas,OSPINA,femenino,18
Subsecretaría de Gestión Ambiental y Crecimiento Verde,ILES,masculino,36
Oficina Jurídica,GUALMATAN,femenino,18
Subsecretaría de Asistencia Técnica,LA FLORIDA,masculino,39
Oficina Control Interno de Gestión,ALDANA,masculino,72
Subsecretaría de Economía Regional y Agua Potable,BARBACOAS,femenino,36
Subsecretaría de Minas,MALLAMA,masculino,56
Subsecretaría Administrativa,GUACHUCAL,masculino,77
Secretaría de Recreación y Deporte,IPIALES,femenino,44
Archivo General,MAGUI,masculino,23
Secretaría de Infraestructura y Minas,IPIALES,femenino,66
Oficina Jurídica,SAN LORENZO,femenino,41
Subsecretaría de Gestión Ambiental y Crecimiento Verde,TAMINANGO,masculino,15
Secretaría de Planeación,EL PEÑOL,femenino,76
Secretaría de Gobierno,OSPINA,femenino,87
Archivo General,LOS ANDES,masculino,11
Secretaría de Gobierno,EL ROSARIO,femenino,37
Secretaría de Agricultura y Desarrollo Rural,TAMINANGO,femenino,58
Oficina Jurídica,IMUES,masculino,55
Secretaría de Recreación y Deporte,CUMBITARA,masculino,54
Subsecretaría de Calidad Educativa,PROVIDENCIA,femenino,13
Subsecretaría de Gestión Pública,MALLAMA,masculino,15
Secretaría de Ambiente y Desarrollo Sostenible,TAMINANGO,femenino,76
Subsecretaría de Transito y Trasnporte,COLON,femenino,86
Secretaría de Agricultura y Desarrollo Rural,SANDONA,femenino,19
Subsecretaría de Transito y Trasnporte,FUNES,masculino,88
Secretaría de Infraestructura y Minas,SANTACRUZ,femenino,83
Secretaría de Gobierno,RICAURTE,femenino,80
Secretaría de Educación,OLAYA HERRERA,masculino,15
Dirección Administrativa de Turismo,COLON,masculino,82
Secretaría General,POLICARPA,femenino,12
Subsecretaría de Gestión Pública,FRANCISCO PIZARRO,femenino,26
Secretaría de Gobierno,EL TAMBO,masculino,15
Secretaría de Educación,LEIVA,femenino,67
Secretaría de Planeación,SAN BERNARDO,masculino,44
Subsecretaría de Economía Regional y Agua Potable,SAN PEDRO DE CARTAGO,masculino,86
Secretaría General,SANTACRUZ,masculino,76
Dirección Administrativa de Gestión de Riesgo de Desastres,EL TAMBO,femenino,50
Departamento Administrativo de Contratación,LA UNION,femenino,65
Secretaría de Educación,ANCUYA,femenino,11
Subsecretaría de Calidad Educativa,CUASPUD,femenino,16
Secretaría de Equidad de Genero e Inclusión Social,LA CRUZ,masculino,66
Subsecretaría de Gestión Ambiental y Crecimiento Verde,SAMANIEGO,masculino,24
Secretaría de Infraestructura y Minas,POTOSI,femenino,68
Secretaría de Infraestructura y Minas,SAN PABLO,masculino,31
Oficina Jurídica,CONTADERO,femenino,42
Secretaría de Hacienda,LEIVA,masculino,69
Secretaría de Equidad de Genero e Inclusión Social,TUQUERRES,masculino,15
Subsecretaría de Asistencia Técnica,TUMACO,masculino,74
Subsecretaría de Talento Humano,ILES,femenino,46
Oficina Control Interno de Gestión,LA UNION,masculino,65
Secretaría de Educación,BUESACO,masculino,87
Secretaría de Gobierno,LA UNION,masculino,75
Oficina Jurídica,LA LLANADA,femenino,7
Subsecretaría de Asistencia Técnica,SANTACRUZ,femenino,54
Dirección Administrativa de Turismo,TUMACO,femenino,25
Subsecretaría de Desarrollo Comunitario,YACUANQUER,masculino,42
Secretaría de Gobierno,EL ROSARIO,femenino,25
Subsecretaría de Rentas,PUPIALES,masculino,60
Subsecretaría de Presupuesto,GUALMATAN,masculino,23
Departamento Administrativo de Contratación,POTOSI,masculino,52
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",TUQUERRES,femenino,41
Secretaría de Recreación y Deporte,BARBACOAS,femenino,24
Subsecretaría de Desarrollo Comunitario,RICAURTE,masculino,12
Secretaría de Gobierno,ALBAN,femenino,35
Subsecretaría de Infraestructura y Vías,ILES,masculino,14
Secretaría de Infraestructura y Minas,LEIVA,masculino,36
Subsecretaría Administrativa,TAMINANGO,masculino,19
Secretaría de Planeación,SAN PEDRO DE CARTAGO,masculino,27
Subsecretaría de Desarrollo Comunitario,SAN PABLO,masculino,88
Subsecretaría de Rentas,OLAYA HERRERA,femenino,74
Secretaría de Recreación y Deporte,FRANCISCO PIZARRO,masculino,34
Subsecretaría de Calidad Educativa,PROVIDENCIA,femenino,27
Oficina Control Interno de Gestión,CUASPUD,femenino,55
Subsecretaría de Transito y Trasnporte,CONSACA,masculino,45
Subsecretaría de Transito y Trasnporte,GUALMATAN,masculino,82
Secretaría de Infraestructura y Minas,ROBERTO PAYAN,femenino,15
Dirección Administrativa de Cultura,LA CRUZ,femenino,64
Dirección Administrativa de Turismo,LA FLORIDA,femenino,53
Archivo General,EL ROSARIO,femenino,11
Dirección Administrativa de Cultura,ALDANA,femenino,33
Secretaría de Equidad de Genero e Inclusión Social,OSPINA,masculino,18
Secretaría de Educación,OLAYA HERRERA,masculino,27
Subsecretaría de Desarrollo Comunitario,IMUES,masculino,75
Secretaría de Planeación,GUACHUCAL,masculino,38
Secretaría de Agricultura y Desarrollo Rural,OLAYA HERRERA,masculino,60
Subsecretaría de Calidad Educativa,RICAURTE,femenino,23
Secretaría de Agricultura y Desarrollo Rural,CUMBITARA,masculino,11
